"","UID","SAMPLE_TYPE","TRANSECT","POINT","PARAMETER","RESULT","FLAG","IND","ACTIVE","OPERATION","INSERTION","DEPRECATION","REASON","SITE_ID","SIZE","CHAR","NUM","PARAMRES"
"3212",11626,"BANKW","B","RT","ANGLE","6",NA,195567,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","6",6,6
"3220",11626,"BANKW","D","RT","ANGLE","18",NA,195667,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","18",18,18
"3221",11626,"BANKW","D","LF","ANGLE","74",NA,195666,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","74",74,74
"3237",11626,"BANKW","H","RT","ANGLE","12",NA,195858,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","12",12,12
"3243",11626,"BANKW","J","LF","ANGLE","20",NA,195957,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","20",20,20
"3248",11626,"BANKW","K","RT","ANGLE","10",NA,196008,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","10",10,10
"3412",11626,"BANKW","K","LF","ANGLE","8",NA,196007,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","8",8,8
"3449",11626,"BANKW","J","RT","ANGLE","10",NA,195958,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","10",10,10
"3473",11626,"BANKW","I","LF","ANGLE","50",NA,195907,TRUE,"O",2013-09-26,9999-12-31,NA,"AR-LS-8007","LS","50",50,50
"3546",11627,"BANKW","E","LF","ANGLE","30",NA,198890,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","30",30,30
"3660",11627,"BANKW","C","LF","ANGLE","20",NA,198790,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","20",20,20
"3701",11627,"BANKW","C","RT","ANGLE","14",NA,198791,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","14",14,14
"3778",11627,"BANKW","B","LF","ANGLE","18",NA,198740,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","18",18,18
"3787",11627,"BANKW","D","RT","ANGLE","6",NA,198841,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","6",6,6
"3815",11627,"BANKW","A","RT","ANGLE","10",NA,198691,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","10",10,10
"3975",11627,"BANKW","K","LF","ANGLE","2",NA,199189,TRUE,"O",2013-09-27,9999-12-31,NA,"AR-LS-8013","LS","2",2,2
